,Ranking,City,Province,Population
0,1,Santo Domingo Este,Santo Domingo,1029117
1,2,Distrito Nacional,Distrito Nacional,1029110
2,3,Santiago de los Caballeros,Santiago,771748
3,4,Santo Domingo Norte,Santo Domingo,674274
4,7,Higuey,La Altagracia,415084
5,5,Santo Domingo Oeste,Santo Domingo,410578
6,6,Los Alcarrizos,Santo Domingo,336307
7,9,La Vega,La Vega,282055
8,8,San Cristóbal,San Cristóbal,277793
9,10,San Pedro de Macorís,San Pedro de Macorís,217523
10,11,San Francisco de Macorís,Duarte,202716
11,12,Moca,Espaillat,164022
12,13,Boca Chica,Santo Domingo,167040
13,14,Baní,Peravia,158019
14,15,Puerto Plata,Puerto Plata,162093
15,16,La Romana,La Romana,153241
16,17,Bajos de Hainas,San Cristóbal,159888
17,18,Bonao,Monseñor Nouel,144923
18,19,San Juan,San Juan,143009
19,20,Villa Hermosa,La Romana,117445
20,21,Villa Altagracia,San Cristóbal,97620
21,22,Pedro Brand,Santo Domingo,92973
22,23,Barahona,Barahona,90166
23,24,Mao,Valverde,86659
24,25,Nagua,María Trinidad Sánchez,81424
25,26,Cotuí,Sánchez Ramírez,84193
26,27,El Seibo,El Seibo,72775
27,28,Esperanza,Valverde,69803
28,29,Samaná,Samaná,60878
29,30,Hato Mayor,Hato Mayor,70582
30,31,Constanza,La Vega,66316
31,32,Jarabacoa,La Vega,65059
32,33,Yamasá,Monte Plata,63989
33,34,Tamboril,Santiago,57669
34,35,San Antonio de Guerra,Santo Domingo,59299
35,36,Sosúa,Puerto Plata,56982
36,37,Puñal,Santiago,46090
37,38,Monte Plata,Monte Plata,48003
38,39,Villa Bisonó,Santiago,49495
39,40,Las Matas de Farfán,San Juan,48179
40,41,San José de las Matas,Santiago,37411
41,42,Salcedo,Hermanas Mirabal,41340
42,43,La Mata,Sánchez Ramírez,38358
43,44,Gaspar Hernández,Espaillat,40781
44,45,Guayubín,Monte Cristi,39653
45,46,Neiba,Baoruco,40644
46,47,San José de Ocoa,San José de Ocoa,43394
47,48,Villa Riva,Duarte,36066
48,49,San Ignacio de Sabanate,Santiago Rodríguez,38798
49,50,Bayaguana,Monte Plata,35435
50,51,Dajabón,Dajabón,35809
51,52,Tenares,Hermanas Mirabal,28942
52,53,Villa González,Provincia de Santiago,42423
53,54,Monte Cristi,Monte Cristi,27067
