,Province,Population
0,Baoruco,40644
1,Barahona,90166
2,Dajabón,35809
3,Distrito Nacional,1029110
4,Duarte,238782
5,El Seibo,72775
6,Espaillat,204803
7,Hato Mayor,70582
8,Hermanas Mirabal,70282
9,La Altagracia,415084
10,La Romana,270686
11,La Vega,413430
12,María Trinidad Sánchez,81424
13,Monseñor Nouel,144923
14,Monte Cristi,66720
15,Monte Plata,147427
16,Peravia,158019
17,Provincia de Santiago,42423
18,Puerto Plata,219075
19,Samaná,60878
20,San Cristóbal,535301
21,San José de Ocoa,43394
22,San Juan,191188
23,San Pedro de Macorís,217523
24,Santiago,962413
25,Santiago Rodríguez,38798
26,Santo Domingo,2769588
27,Sánchez Ramírez,122551
28,Valverde,156462
